,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
256,2024-08-09 09:17:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xeb7ae1d07e4863cc20193b95326344b7ebff5ab9bca56018e98604cd8fec5455,65,2024-08-09 09:17:47.000 UTC,20490094.0,10508558,3937264147739666,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
257,2024-08-09 17:24:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x104fef1a061fe462a86570bf299c054d550fb51bc737d01871732422978731f6,434,2024-08-09 17:24:59.000 UTC,20492518.0,9731422,3745381304590413,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
258,2024-08-09 23:55:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc9af33dc2330cdb25a998cd2c76d884737ab21f3d629a3606ababefbf6af0485,106,2024-08-09 23:55:59.000 UTC,20494464.0,7764969847580,2993636057317984653202,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
259,2024-08-10 23:48:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1d248ed2a3a7cf89044217c1c9215950fe31883bb0de6c0586930126995fcd06,227,2024-08-10 23:48:23.000 UTC,20501596.0,7764969847580,2980866302317030608330,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
260,2024-08-11 11:15:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd0cbf26258cb5c74279ddb1155393b997f811c278d0568d0421c2fe6ae4ecea4,213,2024-08-11 11:15:11.000 UTC,20505008.0,6110761,2295971704379685,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
261,2024-08-11 12:10:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xae94bd4b31e9d1344f3f74a3d77e8442ffe30b5a55064b975e7b82c056a46a15,473,2024-08-11 12:10:47.000 UTC,20505282.0,18803146,7089430066590478,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
262,2024-08-12 00:00:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1a2eb36a6e2ff2df4a464127ef014f0f0e42c35481b2c661969cf86c526ff7f2,570,2024-08-12 00:00:35.000 UTC,20508816.0,7764969847580,3033044153255046323166,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
263,2024-08-12 09:03:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb2759e4f87053f05a78750a2828e45a784e2bdfb7646a8bf65140ac579bb9685,323,2024-08-12 09:03:35.000 UTC,20511518.0,2046667925,797156687190890085,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
264,2024-08-12 23:58:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfbc243bfa70fad720021ab1108dbf7564b9822b48addbb0c047123ff5896c887,270,2024-08-12 23:58:59.000 UTC,20515975.0,7764969847580,2844459849840664797856,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
265,2024-08-13 05:48:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x80be72fc8e16b097dfb67c0994ec1c952d8d8e08f4616e86605eb9a3c82f7ea7,226,2024-08-13 05:48:35.000 UTC,20517716.0,988574621,372061756362752234,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
266,2024-08-13 12:04:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7e42503ae5279ed0fadb498e1e06442c2a8d8796bebbfe5e26eb1c83cf1e3505,184,2024-08-13 12:04:23.000 UTC,20519582.0,77082760,29162110724949593,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
